browser,platform,language,cond,counterbalance,codeversion,beginhit,beginexp,endhit,bonus,status,mode,pid
chrome,windows,en-US,18,0,irlexp10_1,2022-03-09 17:39:47.375995,2022-03-09 17:40:44.901215,2022-03-09 17:54:44.301478,0.0,3,live,2364
chrome,chromeos,en-US,18,0,irlexp10_1,2022-03-09 17:28:33.218971,2022-03-09 17:28:41.706829,2022-03-09 17:41:10.478333,0.0,3,live,2358
chrome,windows,en-US,18,0,irlexp10_1,2022-03-09 15:18:56.232705,2022-03-09 15:21:30.851529,2022-03-09 15:35:19.858102,0.0,3,live,2300
chrome,windows,en-US,18,0,irlexp10_1,2022-03-09 15:02:55.789728,2022-03-09 15:03:01.421493,2022-03-09 15:16:45.029144,0.0,3,live,2257
chrome,windows,en-US,18,0,irlexp10_1,2022-03-09 14:52:44.624637,2022-03-09 15:01:13.823230,2022-03-09 15:10:36.420451,0.0,3,live,2258
chrome,windows,en-US,18,0,irlexp10_1,2022-03-09 14:56:05.028508,2022-03-09 14:58:41.141683,2022-03-14 09:58:45.567450,0.0,3,live,2259
firefox,windows,en-US,19,0,irlexp10_1,2022-03-09 16:43:15.992966,2022-03-09 16:43:56.300217,2022-03-09 17:03:05.596100,0.0,3,live,2342
chrome,macos,en-US,19,0,irlexp10_1,2022-03-09 15:22:05.063631,2022-03-09 15:22:11.042808,2022-03-09 15:33:58.782474,0.0,3,live,2301
chrome,windows,en-US,19,0,irlexp10_1,2022-03-09 15:01:03.683684,2022-03-09 15:01:26.211302,2022-03-09 15:27:59.625049,0.0,3,live,2260
chrome,windows,en-US,19,0,irlexp10_1,2022-03-09 14:53:40.288915,2022-03-09 14:56:15.205379,2022-03-09 15:05:00.344087,0.0,3,live,2219
chrome,windows,en-US,19,0,irlexp10_1,2022-03-09 14:55:51.465132,2022-03-09 14:55:57.994961,2022-03-09 15:05:38.522045,0.0,3,live,2220
chrome,windows,en-US,20,0,irlexp10_1,2022-03-09 16:35:46.089140,2022-03-09 16:37:50.333338,2022-03-09 16:38:40.450215,0.0,3,live,2337
chrome,windows,en-US,20,0,irlexp10_1,2022-03-09 15:49:03.878416,2022-03-09 15:52:01.381737,2022-03-09 16:09:44.782062,0.0,3,live,2312
chrome,windows,en-US,20,0,irlexp10_1,2022-03-09 15:38:13.965413,2022-03-09 15:40:12.351997,2022-03-09 15:49:27.826665,0.0,3,live,2302
chrome,windows,en-US,20,0,irlexp10_1,2022-03-09 14:53:22.506610,2022-03-09 14:58:52.306797,2022-03-09 15:14:21.859439,0.0,3,live,2262
safari,macos,en-us,20,0,irlexp10_1,2022-03-09 14:54:50.825168,2022-03-09 14:55:00.571029,2022-03-09 15:11:14.743039,0.0,3,live,2263
chrome,windows,en-US,21,0,irlexp10_1,2022-03-09 16:34:38.507432,2022-03-09 16:34:45.725117,2022-03-09 16:47:41.402709,0.0,3,live,2338
chrome,windows,en-US,21,0,irlexp10_1,2022-03-09 15:24:56.153048,2022-03-09 15:25:02.152307,2022-03-09 15:36:23.280894,0.0,3,live,2303
chrome,windows,en-US,21,0,irlexp10_1,2022-03-09 15:18:02.380580,2022-03-09 15:21:06.908462,2022-03-09 15:31:14.659405,0.0,3,live,2304
chrome,windows,en-US,21,0,irlexp10_1,2022-03-09 15:02:40.742666,2022-03-09 15:02:47.632754,2022-03-09 15:11:45.843787,0.0,3,live,1762
firefox,windows,en-US,21,0,irlexp10_1,2022-03-09 14:56:26.092867,2022-03-09 15:00:15.364496,2022-03-09 15:09:58.280813,0.0,3,live,2264
firefox,windows,en-US,22,0,irlexp10_1,2022-03-09 16:24:26.370831,2022-03-09 16:28:46.906881,2022-03-09 16:39:22.183093,0.0,3,live,2332
chrome,macos,en-US,22,0,irlexp10_1,2022-03-09 15:09:31.738389,2022-03-09 15:13:52.526022,2022-03-09 15:23:05.078119,0.0,3,live,2280
chrome,windows,en-US,22,0,irlexp10_1,2022-03-09 14:55:43.762349,2022-03-09 15:13:28.230610,2022-03-09 15:26:34.645171,0.0,3,live,2268
chrome,windows,en-US,22,0,irlexp10_1,2022-03-09 14:59:39.502371,2022-03-09 14:59:45.377523,2022-03-09 15:13:04.138771,0.0,3,live,1723
firefox,windows,en-US,22,0,irlexp10_1,2022-03-09 14:53:00.282057,2022-03-09 14:57:54.410864,2022-03-09 15:12:53.482154,0.0,3,live,2265
firefox,windows,en-US,23,0,irlexp10_1,2022-03-09 16:26:13.741786,2022-03-09 16:26:19.327192,2022-03-09 16:38:32.454125,0.0,3,live,2333
chrome,windows,en-US,23,0,irlexp10_1,2022-03-09 15:25:57.251016,2022-03-09 15:26:03.008170,2022-03-09 15:39:02.429502,0.0,3,live,2305
chrome,windows,en-US,23,0,irlexp10_1,2022-03-09 15:24:51.405644,2022-03-09 15:25:27.988627,2022-03-09 15:36:40.716171,0.0,3,live,2306
chrome,windows,en-US,23,0,irlexp10_1,2022-03-09 15:11:57.338565,2022-03-09 15:15:40.198249,2022-03-09 15:36:13.067395,0.0,3,live,2281
chrome,windows,en-US,23,0,irlexp10_1,2022-03-09 14:57:09.444881,2022-03-09 15:06:25.722579,2022-03-09 15:18:20.701184,0.0,3,live,2266
chrome,windows,es-419,2,0,irlexp10_1,2022-03-09 16:00:00.865894,2022-03-09 16:03:10.378381,,0.0,2,live,2313
safari,macos,en-US,4,0,irlexp10_1,2022-03-09 14:56:57.392261,2022-03-09 14:57:04.418922,,0.0,2,live,2230
chrome,windows,en-GB,8,0,irlexp10_1,2022-03-09 15:01:48.456175,2022-03-09 15:02:22.756489,,0.0,2,live,2238
chrome,android,en-US,12,0,irlexp10_1,2022-03-09 14:56:45.761362,2022-03-09 14:56:55.226564,,0.0,2,live,2246
safari,macos,en-US,15,0,irlexp10_1,2022-03-09 15:19:09.430411,2022-03-09 15:24:57.391108,,0.0,2,live,2311
chrome,windows,en-US,18,0,irlexp10_1,2022-03-09 16:23:55.665493,2022-03-09 16:24:03.224535,,0.0,2,live,2331
chrome,windows,en-US,2,0,irlexp10_1,2022-03-09 14:54:00.312701,,,0.0,1,live,2267
firefox,windows,en-US,2,0,irlexp10_1,2022-03-09 17:36:42.908014,,,0.0,1,live,2359
chrome,windows,en-US,14,0,irlexp10_1,2022-03-09 15:13:48.785298,,,0.0,1,live,2282
chrome,windows,en-US,17,0,irlexp10_1,2022-03-09 15:11:30.905074,,,0.0,1,live,2283
