,browser,platform,cond,counterbalance,codeversion,bonus,status,mode,pid,run,final_bonus,displayed_bonus,DEPTH,COST,MIN_TIME,inspectCost,bonusRate,variance,branching,first_trial,time_diff
44,chrome,windows,0,0,0.0.3,0,1,live,66,quest_main,1.73,1.73,0,0,7,1,0.002,2_4_24,312,True,65.40551666666667
45,chrome,windows,0,0,0.0.3,0,1,live,65,quest_main,3.22,3.22,0,0,7,1,0.002,2_4_24,312,True,105.01218333333334
46,chrome,windows,0,0,0.0.3,0,1,live,212,quest_main,3.17,3.17,0,0,7,1,0.002,2_4_24,312,True,73.96523333333333
47,chrome,windows,0,0,0.0.3,0,1,live,67,quest_main,3.25,3.25,0,0,7,1,0.002,2_4_24,312,True,108.83408333333334
49,chrome,windows,0,0,0.0.3,0,1,live,93,quest_main,3.18,3.18,0,0,7,1,0.002,2_4_24,312,True,42.4376
50,chrome,windows,0,0,0.0.3,0,1,live,139,quest_main,3.24,3.24,0,0,7,1,0.002,2_4_24,312,False,69.19516666666667
51,chrome,windows,0,0,0.0.3,0,1,live,84,quest_main,,,0,0,7,1,0.002,2_4_24,312,True,52.0397
52,chrome,windows,0,0,0.0.3,0,1,live,69,quest_main,2.98,2.98,0,0,7,1,0.002,2_4_24,312,False,75.73891666666667
53,chrome,windows,0,0,0.0.3,0,1,live,95,quest_main,3.05,3.05,0,0,7,1,0.002,2_4_24,312,False,110.38108333333334
54,chrome,windows,0,0,0.0.3,0,1,live,61,quest_main,,,0,0,7,1,0.002,2_4_24,312,True,68.07673333333334
57,chrome,windows,0,0,0.0.3,0,1,live,72,quest_main,3.11,3.11,0,0,7,1,0.002,2_4_24,312,True,67.28511666666667
58,chrome,windows,0,0,0.0.3,0,1,live,96,quest_main,3.52,3.52,0,0,7,1,0.002,2_4_24,312,False,88.94955
61,chrome,windows,0,0,0.0.3,0,1,live,74,quest_main,3.41,3.41,0,0,7,1,0.002,2_4_24,312,True,77.96568333333333
